SECTOR ID;SECTOR TITLE;AREA ID;AREA TITLE;AREA CODE;SEAT ID;ROW POSITION;SEAT POSITION;ROW NUMBER;SEAT NUMBER
ed7e8b80-7848-411b-93a8-fd4c203ed298;FONDO SUR;8e15da1f-bb28-4129-bea8-005ac24f6eed;FONDO SUR VISITANTE 15;F. SUR VISITANTE 15;3f53612b-7f8c-465d-8351-01337271656e;4;13;4;5
ed7e8b80-7848-411b-93a8-fd4c203ed298;FONDO SUR;8e15da1f-bb28-4129-bea8-005ac24f6eed;FONDO SUR VISITANTE 15;F. SUR VISITANTE 15;9b8930e7-7707-422f-8f49-01fcc7635395;7;13;7;5
ed7e8b80-7848-411b-93a8-fd4c203ed298;FONDO SUR;8e15da1f-bb28-4129-bea8-005ac24f6eed;FONDO SUR VISITANTE 15;F. SUR VISITANTE 15;56d9afb8-765e-418f-a27a-027677bb381b;2;12;2;3
ed7e8b80-7848-411b-93a8-fd4c203ed298;FONDO SUR;8e15da1f-bb28-4129-bea8-005ac24f6eed;FONDO SUR VISITANTE 15;F. SUR VISITANTE 15;a639d1f8-8134-4d69-be2e-02f490188820;3;18;3;15
ed7e8b80-7848-411b-93a8-fd4c203ed298;FONDO SUR;8e15da1f-bb28-4129-bea8-005ac24f6eed;FONDO SUR VISITANTE 15;F. SUR VISITANTE 15;cef156e3-0d74-4bad-bd7d-0a0c1fcf0aaa;6;7;6;6
ed7e8b80-7848-411b-93a8-fd4c203ed298;FONDO SUR;8e15da1f-bb28-4129-bea8-005ac24f6eed;FONDO SUR VISITANTE 15;F. SUR VISITANTE 15;5d3a64c4-c518-4e46-aac5-0bb878558387;3;14;3;7
ed7e8b80-7848-411b-93a8-fd4c203ed298;FONDO SUR;8e15da1f-bb28-4129-bea8-005ac24f6eed;FONDO SUR VISITANTE 15;F. SUR VISITANTE 15;ea67dde9-2920-48da-9cea-0e131f127397;9;15;9;9
ed7e8b80-7848-411b-93a8-fd4c203ed298;FONDO SUR;8e15da1f-bb28-4129-bea8-005ac24f6eed;FONDO SUR VISITANTE 15;F. SUR VISITANTE 15;a81e4f9d-84a8-4953-9cda-0f862bd3ee2c;4;12;4;3
ed7e8b80-7848-411b-93a8-fd4c203ed298;FONDO SUR;8e15da1f-bb28-4129-bea8-005ac24f6eed;FONDO SUR VISITANTE 15;F. SUR VISITANTE 15;4005c8f4-3d2c-4085-b2ae-0fc7e39e6f72;7;16;7;11
ed7e8b80-7848-411b-93a8-fd4c203ed298;FONDO SUR;8e15da1f-bb28-4129-bea8-005ac24f6eed;FONDO SUR VISITANTE 15;F. SUR VISITANTE 15;b1a613b3-5bc9-49b7-8540-1137f53fcef1;4;5;4;10
ed7e8b80-7848-411b-93a8-fd4c203ed298;FONDO SUR;8e15da1f-bb28-4129-bea8-005ac24f6eed;FONDO SUR VISITANTE 15;F. SUR VISITANTE 15;da5f0a43-4f6f-4622-b880-13cabb47290c;5;2;5;16
ed7e8b80-7848-411b-93a8-fd4c203ed298;FONDO SUR;8e15da1f-bb28-4129-bea8-005ac24f6eed;FONDO SUR VISITANTE 15;F. SUR VISITANTE 15;b6e81ce4-71d5-4cf4-9dac-1491f8969957;1;11;1;1
ed7e8b80-7848-411b-93a8-fd4c203ed298;FONDO SUR;8e15da1f-bb28-4129-bea8-005ac24f6eed;FONDO SUR VISITANTE 15;F. SUR VISITANTE 15;e60a161f-2831-400f-b682-1675893a2909;9;16;9;11
ed7e8b80-7848-411b-93a8-fd4c203ed298;FONDO SUR;8e15da1f-bb28-4129-bea8-005ac24f6eed;FONDO SUR VISITANTE 15;F. SUR VISITANTE 15;66b3bbba-e599-4183-b125-1c0b1711f4cd;3;4;3;12
